surface_name	site_name	species_name	formation_energy	frequencies	reference	ensemble_path
Pt	111	CH-H	-0.97990578	[379.60000000000002, 437.80000000000001, 558.70000000000005, 656.5, 894.79999999999995, 1573.3, 3011.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Pt/CH-H.pkl
Pt	111	CH2	-1.37110338	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Pt/CH2.pkl
Pt	111	CH2-H	-1.0529244	[62.100000000000001, 278.10000000000002, 322.80000000000001, 504.80000000000001, 588.70000000000005, 852.39999999999998, 953.20000000000005, 1338.5999999999999, 1815.2, 3008.8000000000002, 3082.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Pt/CH2-H.pkl
Pt	111	CH3	-2.0295358	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Pt/CH3.pkl
Pt	111	CH3-H	-1.47851702	[156.0, 192.5, 442.10000000000002, 648.39999999999998, 656.70000000000005, 1072.4000000000001, 1218.7, 1320.5999999999999, 1375.5999999999999, 1415.9000000000001, 2641.9000000000001, 3025.9000000000001, 3096.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Pt/CH3-H.pkl
Pt	111	CHO	-1.11822822	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Pt/CHO.pkl
Pt	111	CHOH	-1.11911004	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Pt/CHOH.pkl
Pt	111	CO	-1.4696512	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Pt/CO.pkl
Pt	111	CO-H	0.17015198	[1695.8, 757.8, 325.1, 278.1, 277.1, 113.9, 72.7, 400.2]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Pt/CO-H.pkl
Pt	111	CO-H-ele	-0.9496512	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Pt/CO-H-ele.pkl
Pt	111	COH	-1.23460762	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Pt/COH.pkl
