surface_name	site_name	species_name	formation_energy	frequencies	reference	ensemble_path
Ag	111	H-H	1.60942616	[129.1, 218.3, 426.7, 4083.2]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Ag/H-H.pkl
Ag	111	H-ele	1.19	[902.6, 1205.4, 1784.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Ag/H-ele.pkl
Ag	111	H2-ele	1.15971308	[420.6, 445.7, 799.4, 1078.9, 1145.2, 1915.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Ag/H2-ele.pkl
Ag	111	OH	0.21415312	[35.4, 126.8, 307.9, 511.8, 534.0, 3660.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Ag/OH.pkl
Ag	211	CH	1.61805984	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Ag/CH.pkl
Ag	211	CH-H	2.44271312	[379.60000000000002, 437.80000000000001, 558.70000000000005, 656.5, 894.79999999999995, 1573.3, 3011.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Ag/CH-H.pkl
Ag	211	CH2	0.27689562	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Ag/CH2.pkl
Ag	211	CH2-H	1.0439978	[62.100000000000001, 278.10000000000002, 322.80000000000001, 504.80000000000001, 588.70000000000005, 852.39999999999998, 953.20000000000005, 1338.5999999999999, 1815.2, 3008.8000000000002, 3082.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Ag/CH2-H.pkl
Ag	211	CH3	-1.1136636	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Ag/CH3.pkl
Ag	211	CH3-H	-0.15465262	[156.0, 192.5, 442.10000000000002, 648.39999999999998, 656.70000000000005, 1072.4000000000001, 1218.7, 1320.5999999999999, 1375.5999999999999, 1415.9000000000001, 2641.9000000000001, 3025.9000000000001, 3096.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Ag/CH3-H.pkl
