-1.0,2.0,10,6623782.5199179807534396356228652879987409122446986338185302450485779634770027455062997804358577603197282455454308838876527951845699828693607618689225959335636274794419383160987505636607123404138276645585812163434689991568008385584051321290174411766579848182916088983949137511511760715129906572404719318677736711285048282169515347487365559248719131321371628826650355688870545703866879739866320987131825918309464590703528905594830757741126713406104952321619281331943195528876072187764468957914263041883987655999999407568584171150798874256945660825332775187900644045566878913497
-1.0,2.0,11,1655945.6299794951883599088941730278186380368683875674398851422300084693314028379891076204877090070738421710544269789386496627794599597530969805552416697765853596862822348077733853972332944289672243291417757704927338515687986376927333733399885240723537354081447070293561452087550854358762966314957547108614624023638187263663249852358851533180477989263935295241679652754260605519023666569246891444190175111380426668303445696777914863180644643316691942079256790659386449783107006381830181665380494324285560046863702396662947539977851138723897146010388385460432507321060045330241
-1.0,2.0,12,413986.40749487379708997721199996277361231802430980108662244532746339991850323821164350999181101300651490717884279854406401996734239217221930422010093582740924448562187113498787149431588157588411218759629351405586259162559468817267195006274515818064295179581816759030182024792263229649239370775463510608792513530779889566881967902758160842106672192322857883394432621504129589713355398126997861692913038064588206249524925245304574838972377333342133458526212560693037569274595148705263320568050748741201855920869816787555619181593547420704033655159572557428859275053748132862388
-1.0,2.0,13,103496.60187371844927249429145669651235588831329036046390108631021634905927977936479916896673729196496137937820027173850528882382711244457976646477166856126522404401241849921281872044498153632717306410614595898972020299004971799336489071208379565561178855204071486425312705169304479757808765956104452925233374405590349084578127467013553542371626256200791329227642608537317842020576337235636207812878006097991485240076026811505450172358886691673706221676298118287589896092357293214710515756708490276145828334383860065329749627264106107995515847149130858302334695828894117302712
-1.0,2.0,14,25874.150468429612318123561320879947041780885535504170598007389461452320478602086150328255575979585174466530781054382042277238662931321979520064373532934926820332770149330982796849387857130720895391600104083078142817492995564730283364393400226694199295652931402615315746344405728246773526100707256679510719896375503326766133156248558249810141077508713738095574337098664588697191398365180336063910810512647170537072540422382385726965257234601677201990389994334886682619517791519636254116323902771143555103590471252502614587694451237859809354087017993000782189921713346925115118
-1.0,2.0,15,6468.5376171074030795308787869258057132540285968055467812809935001920397798261863450666502782507015992892116722406633401857291161300315924273751323733550822187225412765942494692460377351506951875461110894530747893210633372552660438356400423606868127208034148152473313698826537814142711875385485317075352147674965138777714457735277790923714497763204590108602606676978860867112017718860952926237614996879829645642567225504733217716315591553614363360125227110569126351521700100976673162681279158392261257959110705366339794511178914581649596609928335270270189121818979140693875445
-1.0,2.0,16,1617.1344042768507698827081534372703811223143621926888632727314197325853355048925490718119502594474096329545082982540975346786410324409305999341889522113455999348362679400700030418291632031336598249881026144221685589869752440597668842732375496530129154676770267988804839532459493076000561308745447850157635118320130638446196526754841275050217518885214095608493949613370777979863192514833816407375500826942715656898663906937396469565385589854215839101285777879947439602345376142785316990953148909475578969656553228512972714687921779405766255753714574429703218059342128223299706
-1.0,2.0,17,404.28360106921269247066549506513654808938580378666652846401353904018023469932136177572277080169726286196795300135079137247244811437476862540990395374803301258007358234082472153081547759460760560956709475908016947019414826876320424833095749565552536952584029755863554759513881440968069634455386860258554470084703052508551188070857684133459359767368450465109338074914912438821867006469660852297516835836072298909387632674703376627399326051883659322794797770904827012385354392080477415539841254484375749039049553992624630945624329408716611307726097310447091891291926901060761779
-1.0,2.0,18,101.07090026730317311765483047210308983115366517392952353522462655684242114137985848807675901311289107484646679732740696815227535761202733369123913279531298205406324864626401433285724534647103111212902630329668305884944978316535744500329232508258379718806364470960771916116736850089584334087162777925029119263236245475223959070874172443284758392140673621396316260334598855748397927290264810437961499565520458825372812771159722684428616214096652439618388324936646574561328996260376992729923034735154986933371250278971313464668309182646155877077973578741273645272065718761132063
-1.0,2.0,19,25.267725066825793279402164323844725266595634475819587396589629193932543036775604425985442792042335449526066803330311463333148259024747581360178535166694621218447638817265226425389380519739798782804037212494299803712642049562562841846722435063657647355705028654401511569292831765728702418690503950040613611476955082447555037648423391144364605612458162577177629598980623724444633177100413473729257194910309873364606195080936491959237088894021715145454290249634706190697958122442792996006340638658086347487970509970118517502861201757713661650122645695552941122526855722726038627
-1.0,2.0,20,6.3169312667064483198389977867801341254561426215893637361798028668350340273641897788026488801552324320338194863962166509384299613607630717909000723582842085096714503031864083127656561380294320369786154752995284770651555438092129567621229847727896747580786315397181756367993858361832761503501907165762090845265158170351155722808351766311033715022483693076031677738116522621522931948699043825958198581386575135221106104354351518191578929890923803450450691931137208347774193141839370800244084491004339096721504321770634919397501858131407750886273733852306892717907360665032203505
-1.0,2.0,21,1.5792328166766120799482061525139863401713329392208493180730380504870488774125208564944212951897647384592712883009261347363759280492726384610493616053156480362150777763548557252999890057427132794847649549483666908926561688414373312313184238472202618266013573365073687039341740962445155399755265105093367385119959116749624014949792597195272438789175710558173138745157218297249139268443252835667673813180707186931280744469565739493670621692847045434976924695681830934036174811484678875662202851098199834747646306793349396193508035294575174976376125618587757646263961661825126458
-1.0,2.0,22,0.39480820416915301997550824394744939385038364338488670152910928261042156661077091734251671343890902296560719520729036800317206364513020365998667470371410986591867000455578541683734693145337755555028258688083159185660391637349460755952219702368488441691991068839182348137461553089707518205063541554436714606740844440620650683900599685062569580179626413221241375063265092134028919781533883943892139555281043480092310743576611379809826862014457542516833236259977172252930743723318307925407373799680318934424755160241657948647844000419729755599185604688436483248027657510257941735
